"property name","description","unit","access","comment"
"sim-time-sec","time","SEC","RO",""
"output_delay","go on output after optimize","NORM","RO","default value is zero"
"output_date_rate","dat file output rate","NORM","RO","output a record every X times. default value is 5."
"signal/aeroelastic","aeroelasticity","NORM","R/W","aeroelastic enable signal(0-false, 1-true)"
"signal/custom1","custom signal 1","NORM","R/W","custom enable signal(0-false, 1-true)"
"signal/custom2","custom signal 2","NORM","R/W","custom enable signal(0-false, 1-true)"
"signal/custom3","custom signal 3","NORM","R/W","custom enable signal(0-false, 1-true)"
"signal/custom4","custom signal 4","NORM","R/W","custom enable signal(0-false, 1-true)"
"signal/custom5","custom signal 5","NORM","R/W","custom enable signal(0-false, 1-true)"
"metrics/Sw-sqft","wing area","SQFT","RO",""
"metrics/Sw-sqm","wing area","SQM","RO",""
"metrics/bw-ft","wing span","FT","RO",""
"metrics/bw-m","wing span","M","RO",""
"metrics/cbarw-ft","chord bar","FT","RO",""
"metrics/cbarw-m","chord bar","M","RO",""
"metrics/iw-deg","wing incidence angle","DEG","RO","aero/alpha-wing-rad = aero/alpha-rad + metrics/iw-deg * deg2rad"
"metrics/Sh-sqft","Horizontal Tail Area","SQFT","RO","deprecated"
"metrics/Sh-sqm","horizontal tail area","SQM","RO","deprecated"
"metrics/lh-ft","horizontal tail arm","FT","RO","deprecated"
"metrics/lh-m","horizontal tail arm","M","RO","deprecated"
"metrics/lh-norm","horizontal tail arm","norm","RO","deprecated, HTailArm / cbar"
"metrics/vbarh-norm","H. Tail Volume","norm","RO","vbarh = HTailArm*HTailArea / (cbar*WingArea)"
"metrics/Sv-sqft","vertical tail area","SQFT","RO","deprecated"
"metrics/Sv-sqm","vertical tail area","SQM","RO","deprecated"
"metrics/lv-ft","vertical tail arm","FT","RO","deprecated"
"metrics/lv-m","vertical tail arm","FT","RO","deprecated"
"metrics/lv-norm","vertical tail arm","norm","RO","deprecated, VTailArm / cbar"
"metrics/vbarv-norm","V. Tail Volume","norm","RO","vbarv = VTailArm*VTailArea / (cbar*WingArea)"
"metrics/aero-rp-x-in","X coordinate for ARP","IN","RO","Aero Referece Point in the structural frame"
"metrics/aero-rp-x-m","X coordinate for ARP","M","RO","Aero Referece Point in the structural frame"
"metrics/aero-rp-y-in","Y coordinate for ARP","IN","RO","Aero Referece Point in the structural frame"
"metrics/aero-rp-y-m","Y coordinate for ARP","M","RO","Aero Referece Point in the structural frame"
"metrics/aero-rp-z-in","Z coordinate for ARP","IN","RO","Aero Referece Point in the structural frame"
"metrics/aero-rp-z-m","Z coordinate for ARP","M","RO","Aero Referece Point in the structural frame"
"metrics/eyepoint-x-in","X coordinate for EP","IN","RO","Eye Point in the structural frame"
"metrics/eyepoint-x-m","X coordinate for EP","M","RO","Eye Point in the structural frame"
"metrics/eyepoint-y-in","Y coordinate for EP","IN","RO","Eye Point in the structural frame"
"metrics/eyepoint-y-m","Y coordinate for EP","M","RO","Eye Point in the structural frame"
"metrics/eyepoint-z-in","Z coordinate for EP","IN","RO","Eye Point in the structural frame"
"metrics/eyepoint-z-m","Z coordinate for EP","M","RO","Eye Point in the structural frame"
"metrics/visualrefpoint-x-in","X coordinate for VRP","IN","RO","Visual Reference Point in the structural frame"
"metrics/visualrefpoint-x-m","X coordinate for VRP","M","RO","Visual Reference Point in the structural frame"
"metrics/visualrefpoint-y-in","Y coordinate for VRP","IN","RO","Visual Reference Point in the structural frame"
"metrics/visualrefpoint-y-m","Y coordinate for VRP","M","RO","Visual Reference Point in the structural frame"
"metrics/visualrefpoint-z-in","Z coordinate for VRP","IN","RO","Visual Reference Point in the structural frame"
"metrics/visualrefpoint-z-m","Z coordinate for VRP","M","RO","Visual Reference Point in the structural frame"
"inertia/mass-slugs","mass","SLUGS","RO",""
"inertia/mass-kg","mass","KG","RO",""
"inertia/weight-lbs","weight","LBS","RO",""
"inertia/weight-n","weight","N","RO",""
"inertia/cg-x-in","CG pos along the X axis","IN","RO","CG pos in the structural frame"
"inertia/cg-x-m","CG pos along the X axis","M","RO","CG pos in the structural frame"
"inertia/cg-y-in","CG pos along the Y axis","IN","RO","CG pos in the structural frame"
"inertia/cg-y-m","CG pos along the Y axis","M","RO","CG pos in the structural frame"
"inertia/cg-z-in","CG pos along the Z axis","IN","RO","CG pos in the structural frame"
"inertia/cg-z-m","CG pos along the Z axis","M","RO","CG pos in the structural frame"
"atmosphere/T-R","aero temperature","DEG","RO","the temperature in degrees Rankine"
"atmosphere/T-C","aero temperature","DEG","RO","the temperature in degrees Celsius"
"atmosphere/T-K","aero temperature","DEG","RO","the temperature in degrees Kelvin"
"atmosphere/T-sl-R","temperature at sea level","DEG","RO","sea level temperature in degrees Rankine"
"atmosphere/T-sl-C","temperature at sea level","DEG","RO","sea level temperature in degrees Celsius"
"atmosphere/T-sl-K","aero temperature at sea level","DEG","RO","sea level temperature in degrees Kelvin"
"atmosphere/theta-norm","aero temperature","norm","RO","the ratio of at-altitude temperature over the sea level value"
"atmosphere/rho-slugs_ft3","aero density","SLUGS/FT^3","RO",""
"atmosphere/rho-kg_m3","aero density","KG/M^3","RO",""
"atmosphere/rho-sl-slugs_ft3","aero density at sea level","SLUGS/FT^3","RO",""
"atmosphere/rho-sl-kg_m3","aero density at sea level","KG/M^3","RO",""
"atmosphere/sigma-norm","aero density","norm","RO","the ratio of at-altitude density over the sea level value"
"atmosphere/P-psf","aero pressure","PSF","RO",""
"atmosphere/P-pa","aero pressure","Pa","RO",""
"atmosphere/P-sl-psf","aero pressure at sea level","PSF","RO",""
"atmosphere/P-sl-pa","aero pressure at sea level","Pa","RO",""
"atmosphere/delta-norm","aero pressure","norm","RO","the ratio of at-altitude pressure over the sea level value"
"atmosphere/a-fps","sound speed","FT/SEC","RO",""
"atmosphere/a-mps","sound speed","M/SEC","RO",""
"atmosphere/a-sl-fps","speed of sound  at sea level","FPS","RO",""
"atmosphere/a-sl-mps","sound speed at sea level","MPS","RO",""
"atmosphere/a-norm","sound speed","norm","RO","the ratio of at-altitude sound speed over the sea level value"
"atmosphere/psiw-rad","wind direction","RAD","RO","0 <= psiw < 2*pi"
"atmosphere/density-altitude","density altitude in feet","FT","RO",""
"atmosphere/density-altitude-m","density altitude in meters","M","RO",""
"atmosphere/p-turb-rad_sec","aero turbulence moment along the X axis","RAD/SEC","RW","aero turbulence moment in the body frame"
"atmosphere/q-turb-rad_sec","aero turbulence moment along the Y axis","RAD/SEC","RW","aero turbulence moment in the body frame"
"atmosphere/r-turb-rad_sec","aero turbulence moment along the Z axis","RAD/SEC","RW","aero turbulence moment in the body frame"
"atmosphere/n-turb-fps","aero turbulence force for the north axis","FT/SEC","RW","aero turbulence force in the local frame"
"atmosphere/n-turb-mps","aero turbulence force for the north axis","M/SEC","RW","aero turbulence force in the local frame"
"atmosphere/e-turb-fps","aero turbulence force for the east axis","FT/SEC","RW","aero turbulence force in the local frame"
"atmosphere/e-turb-mps","aero turbulence force for the east axis","M/SEC","RW","aero turbulence force in the local frame"
"atmosphere/d-turb-fps","aero turbulence force for the down axis","FT/SEC","RW","aero turbulence force in the local frame"
"atmosphere/d-turb-mps","aero turbulence force for the down axis","M/SEC","RW","aero turbulence force in the local frame"
"aero/cl-squared-norm","square coefficient of lift","norm","RO","aerodynamic lift force divided by (qbar * WingArea)"
"aero/qbar-area","qbar * WingArea","LBS","RO","qbar multiplied by WingArea"
"aero/qbar-area-newton","qbar * WingArea","N","RO","qbar multiplied by WingArea"
"aero/alpha-max-deg","accessible max alpha angle","DEG","R/W",""
"aero/alpha-min-deg","accessible min alpha angle","DEG","R/W",""
"aero/bi2vel","WingSpan divided by double velocity","SEC","RO","velocities/p-rad_sec * aero/bi2vel = p-norm"
"aero/ci2vel","chord divided by double velocity","SEC","RO","velocities/q-rad_sec * aero/ci2vel = q-norm"
"aero/alpha-wing-rad","alpha angle for the wing","RAD","RO","aero/alpha-rad + metrics/iw-deg * deg2rad"
"systems/stall-warn-norm","stall warn signal","norm","RO","10*(alpha/alphaclmax - 0.85)"
"aero/stall-hyst-norm","stall hysteresis flag","norm","RO","if (alpha > alphahystmax) stall_hyst = 1; else stall_hyst = 0"
"aero/alpha-rad","alpha angle","RAD","RO",""
"aero/alpha-deg","alpha angle","DEG","RO",""
"aero/beta-rad","beta angle","RAD","RO",""
"aero/beta-deg","beta angle","DEG","RO",""
"aero/mag-beta-rad","beta angle","RAD","RO","absolute magnitude of beta angle"
"aero/mag-beta-deg","beta angle","RAD","RO","absolute magnitude of beta angle"
"aero/qbar-psf","Q bar","PSF","RO",""
"aero/qbar-pa","Q bar","Pa","RO",""
"aero/alphadot-rad_sec","alpha dot","RAD/SEC","RO","d(alpha) / dt"
"aero/alphadot-deg_sec","alpha dot","DEG/SEC","RO","d(alpha) / dt"
"aero/betadot-rad_sec","beta dot","RAD/SEC","RO","d(beta) / dt"
"aero/betadot-deg_sec","beta dot","DEG/SEC","RO","d(beta) / dt"
"forces/fbx-aero-lbs","aerodynamic force along the X axis","LBS","RO","aerodynamic force only in the body frame"
"forces/fbx-aero-newton","aerodynamic force along the X axis","N","RO","aerodynamic force only in the body frame"
"forces/fby-aero-lbs","aerodynamic force along the Y axis","LBS","RO","aerodynamic force only in the body frame"
"forces/fby-aero-newton","aerodynamic force along the Y axis","N","RO","aerodynamic force only in the body frame"
"forces/fbz-aero-lbs","aerodynamic force along the Z axis","LBS","RO","aerodynamic force only in the body frame"
"forces/fbz-aero-newton","aerodynamic force along the Z axis","N","RO","aerodynamic force only in the body frame"
"forces/fwx-aero-lbs","aerodynamic force along the X axis","LBS","RO","aerodynamic force only in the wind frame"
"forces/fwx-aero-newton","aerodynamic force along the X axis","N","RO","aerodynamic force only in the wind frame"
"forces/fwy-aero-lbs","aerodynamic force along the Y axis","LBS","RO","aerodynamic force only in the wind frame"
"forces/fwy-aero-newton","aerodynamic force along the Y axis","N","RO","aerodynamic force only in the wind frame"
"forces/fwz-aero-lbs","aerodynamic force along the Z axis","LBS","RO","aerodynamic force only in the wind frame"
"forces/fwz-aero-newton","aerodynamic force along the Z axis","N","RO","aerodynamic force only in the wind frame"
"forces/lod-norm","aerodynamic force load ratio","norm","RO","aerodynamic lift force divided by aerodynamic drag force"
"forces/nlf-norm","longitude force load","norm","RO","longitude force divided by gravity, it is 1 normally."
"forces/mag-nlf-total-norm","absolute magnitude of all force load","norm","RO","total force divided by gravity, it is 1 normally."
"forces/fbx-total-lbs","total force along the X axis","LBS","RO","total force in the body frame"
"forces/fbx-total-n","total force along the X axis","N","RO","total force in the body frame"
"forces/fby-total-lbs","total force along the Y axis","LBS","RO","total force in the body frame"
"forces/fby-total-n","total force along the Y axis","N","RO","total force in the body frame"
